,Waktu,pipi,alis,Pipi,Alis
481,21:29.3,54,923,0.263671875,4.506835938
482,21:29.3,56,919,0.2734375,4.487304688
483,21:29.3,55,921,0.268554688,4.497070313
484,21:29.3,55,921,0.268554688,4.497070313
485,21:29.3,54,922,0.263671875,4.501953125
486,21:29.3,55,921,0.268554688,4.497070313
487,21:29.3,56,922,0.2734375,4.501953125
488,21:29.3,55,924,0.268554688,4.51171875
489,21:29.3,55,924,0.268554688,4.51171875
490,21:29.3,55,924,0.268554688,4.51171875
491,21:29.3,54,924,0.263671875,4.51171875
492,21:29.3,55,924,0.268554688,4.51171875
493,21:29.3,55,921,0.268554688,4.497070313
494,21:29.3,55,921,0.268554688,4.497070313
495,21:29.3,55,921,0.268554688,4.497070313
496,21:29.3,54,922,0.263671875,4.501953125
497,21:29.3,56,921,0.2734375,4.497070313
498,21:29.3,55,924,0.268554688,4.51171875
499,21:29.3,55,923,0.268554688,4.506835938
500,21:29.3,55,923,0.268554688,4.506835938
501,21:29.3,54,924,0.263671875,4.51171875
502,21:29.3,55,923,0.268554688,4.506835938
503,21:29.3,55,924,0.268554688,4.51171875
504,21:29.4,55,922,0.268554688,4.501953125
505,21:29.4,55,922,0.268554688,4.501953125
506,21:29.4,54,922,0.263671875,4.501953125
507,21:29.4,54,920,0.263671875,4.4921875
508,21:29.4,55,922,0.268554688,4.501953125
509,21:29.4,54,923,0.263671875,4.506835938
510,21:29.4,55,923,0.268554688,4.506835938
511,21:29.4,54,924,0.263671875,4.51171875
512,21:29.4,54,924,0.263671875,4.51171875
513,21:29.4,55,923,0.268554688,4.506835938
514,21:29.4,55,921,0.268554688,4.497070313
515,21:29.4,55,921,0.268554688,4.497070313
516,21:29.4,54,922,0.263671875,4.501953125
517,21:29.4,53,922,0.258789063,4.501953125
518,21:29.4,55,921,0.268554688,4.497070313
519,21:29.4,54,923,0.263671875,4.506835938
520,21:29.4,54,923,0.263671875,4.506835938
521,21:29.4,54,923,0.263671875,4.506835938
522,21:29.4,53,924,0.258789063,4.51171875
523,21:29.4,53,924,0.258789063,4.51171875
524,21:29.4,53,924,0.258789063,4.51171875
525,21:29.4,53,922,0.258789063,4.501953125
526,21:29.4,53,922,0.258789063,4.501953125
527,21:29.4,53,922,0.258789063,4.501953125
528,21:29.4,52,921,0.25390625,4.497070313
529,21:29.4,54,921,0.263671875,4.497070313
530,21:29.4,53,923,0.258789063,4.506835938
531,21:29.4,54,923,0.263671875,4.506835938
532,21:29.4,54,924,0.263671875,4.51171875
533,21:29.4,52,924,0.25390625,4.51171875
534,21:29.5,53,923,0.258789063,4.506835938
535,21:29.5,56,917,0.2734375,4.477539063
536,21:29.5,53,921,0.258789063,4.497070313
537,21:29.5,53,921,0.258789063,4.497070313
538,21:29.5,52,922,0.25390625,4.501953125
539,21:29.5,53,921,0.258789063,4.497070313
540,21:29.5,53,922,0.258789063,4.501953125
541,21:29.5,52,923,0.25390625,4.506835938
542,21:29.5,52,923,0.25390625,4.506835938
543,21:29.5,52,923,0.25390625,4.506835938
544,21:29.5,51,924,0.249023438,4.51171875
545,21:29.5,51,924,0.249023438,4.51171875
546,21:29.5,52,921,0.25390625,4.497070313
547,21:29.5,52,921,0.25390625,4.497070313
548,21:29.5,52,922,0.25390625,4.501953125
549,21:29.5,51,922,0.249023438,4.501953125
550,21:29.5,52,922,0.25390625,4.501953125
551,21:29.5,51,923,0.249023438,4.506835938
